8, 0.49, 342, 341, 0.376221, 1.917412, 1638515446.444623
9, 0.02, 546, 499, 0.573520, 2.684174, 1638515449.136096
8, 0.53, 343, 343, 0.386358, 1.964145, 1638515451.116237
8, 0.49, 1091, 499, 0.981733, 5.451861, 1638515456.579496
9, 0.02, 293, 292, 0.248944, 1.409489, 1638515457.998718
9, 0.02, 293, 292, 0.251569, 1.425923, 1638515459.427825
9, 0.03, 292, 292, 0.262202, 1.450089, 1638515460.880166
9, 0.02, 546, 499, 0.519013, 2.713629, 1638515463.597036
9, 0.02, 698, 499, 0.632754, 3.381186, 1638515466.981763
9, 0.02, 293, 292, 0.272659, 1.467891, 1638515468.455302
9, 0.49, 1924, 499, 11.973107, 66.310485, 1638515534.774976
8, 0.56, 1925, 499, 11.932255, 66.720785, 1638515601.507947
8, 0.50, 343, 343, 0.343797, 1.897775, 1638515603.414225
9, 1.20, 294, 293, 0.294851, 2.691189, 1638515606.109600
9, 0.04, 546, 499, 0.490917, 2.714321, 1638515608.831745
9, 0.50, 1927, 499, 2.850015, 15.819721, 1638515624.658815
9, 0.48, 1037, 499, 1.010549, 5.657837, 1638515630.324398
9, 0.49, 1037, 499, 1.008425, 5.685749, 1638515636.013506
9, 0.02, 293, 292, 0.253426, 1.423029, 1638515637.438760
9, 0.02, 547, 499, 0.461098, 2.610515, 1638515640.051625
8, 0.49, 597, 499, 0.550989, 3.081360, 1638515643.135246
8, 1.05, 1925, 499, 12.747404, 69.273801, 1638515712.411330
9, 0.02, 546, 499, 0.473759, 2.613050, 1638515715.033253
8, 0.02, 293, 292, 0.254392, 1.417120, 1638515716.456323
9, 0.02, 293, 292, 0.255331, 1.415862, 1638515717.875602
9, 0.02, 292, 292, 0.257283, 1.424187, 1638515719.301958
8, 0.49, 595, 499, 0.557520, 3.074447, 1638515722.378903
9, 0.02, 292, 291, 0.254170, 1.416097, 1638515723.797249
9, 0.02, 293, 292, 0.251338, 1.406432, 1638515725.205847
9, 0.48, 1037, 499, 1.019871, 5.662896, 1638515730.870744
9, 0.03, 293, 292, 0.253486, 1.433436, 1638515732.306047
8, 0.49, 597, 499, 0.545717, 3.063882, 1638515735.372977
9, 0.02, 292, 292, 0.246112, 1.398720, 1638515736.774856
8, 0.57, 1925, 499, 12.252462, 67.432054, 1638515804.209464
8, 0.52, 1925, 499, 9.290228, 51.862266, 1638515856.074207
8, 0.50, 1924, 499, 11.897880, 66.731728, 1638515922.813149
9, 0.02, 293, 292, 0.255127, 1.432597, 1638515924.256120
9, 0.02, 292, 292, 0.246444, 1.408653, 1638515925.670687
8, 0.50, 2027, 499, 11.815392, 67.205771, 1638515992.879095
8, 0.49, 1587, 499, 1.516655, 8.511034, 1638516001.393770
